"성별","산업별","직업별",2025.1/2,2025.1/2,2025.2/2,2025.2/2
"여자","계","농림어업 숙련 종사자",531,-,544,-
"여자","계","기능원 및 관련 기능 종사자",256,-,248,-
"여자","계","장치‧기계 조작 및 조립 종사자",313,-,282,-
"여자","계","단순 노무 종사자",2074,-,2037,-
"여자","A. 농업, 임업 및 어업(01~03)","계",564,-,579,-
"여자","A. 농업, 임업 및 어업(01~03)","관리자",-,*,-,-
"여자","A. 농업, 임업 및 어업(01~03)","전문가 및 관련 종사자",0,-,0,*
"여자","A. 농업, 임업 및 어업(01~03)","사무 종사자",5,*,6,-
"여자","A. 농업, 임업 및 어업(01~03)","서비스 종사자",1,-,0,*
"여자","A. 농업, 임업 및 어업(01~03)","판매 종사자",0,-,2,*
"여자","A. 농업, 임업 및 어업(01~03)","농림어업 숙련 종사자",528,*,539,-
"여자","A. 농업, 임업 및 어업(01~03)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","A. 농업, 임업 및 어업(01~03)","장치‧기계 조작 및 조립 종사자",0,-,-,-
"여자","A. 농업, 임업 및 어업(01~03)","단순 노무 종사자",29,*,31,-
"여자","B. 광 업(05~08)","계",0,-,0,*
"여자","B. 광 업(05~08)","관리자",-,*,-,-
"여자","B. 광 업(05~08)","전문가 및 관련 종사자",0,-,0,*
"여자","B. 광 업(05~08)","사무 종사자",0,-,0,*
"여자","B. 광 업(05~08)","서비스 종사자",0,-,0,*
"여자","B. 광 업(05~08)","판매 종사자",-,*,0,*
"여자","B. 광 업(05~08)","농림어업 숙련 종사자",-,*,-,-
"여자","B. 광 업(05~08)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","B. 광 업(05~08)","장치‧기계 조작 및 조립 종사자",0,-,0,*
"여자","B. 광 업(05~08)","단순 노무 종사자",0,-,0,*
"여자","C. 제 조 업(10~34)","계",1229,-,1209,-
"여자","C. 제 조 업(10~34)","관리자",5,-,6,-
"여자","C. 제 조 업(10~34)","전문가 및 관련 종사자",121,*,128,-
"여자","C. 제 조 업(10~34)","사무 종사자",422,*,433,-
"여자","C. 제 조 업(10~34)","서비스 종사자",9,*,11,-
"여자","C. 제 조 업(10~34)","판매 종사자",23,*,29,-
"여자","C. 제 조 업(10~34)","농림어업 숙련 종사자",0,-,-,-
"여자","C. 제 조 업(10~34)","기능원 및 관련 기능 종사자",146,*,145,-
"여자","C. 제 조 업(10~34)","장치‧기계 조작 및 조립 종사자",271,*,240,-
"여자","C. 제 조 업(10~34)","단순 노무 종사자",232,*,217,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","계",17,-,22,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","관리자",1,-,-,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","전문가 및 관련 종사자",2,-,2,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","사무 종사자",9,*,13,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","서비스 종사자",0,-,0,*
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","판매 종사자",0,-,-,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","농림어업 숙련 종사자",-,*,-,-
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","장치‧기계 조작 및 조립 종사자",2,-,2,*
"여자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","단순 노무 종사자",4,*,4,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",21,-,18,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","관리자",-,*,-,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전문가 및 관련 종사자",1,-,1,*
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","사무 종사자",13,*,12,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","서비스 종사자",1,-,0,*
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","판매 종사자",-,*,-,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","농림어업 숙련 종사자",-,*,-,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기능원 및 관련 기능 종사자",0,-,-,-
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","장치‧기계 조작 및 조립 종사자",1,-,1,*
"여자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","단순 노무 종사자",5,*,4,-
"여자","F. 건 설 업(41~42)","계",243,-,247,-
"여자","F. 건 설 업(41~42)","관리자",2,-,1,*
"여자","F. 건 설 업(41~42)","전문가 및 관련 종사자",23,*,27,-
"여자","F. 건 설 업(41~42)","사무 종사자",150,*,158,-
"여자","F. 건 설 업(41~42)","서비스 종사자",1,-,1,*
"여자","F. 건 설 업(41~42)","판매 종사자",3,*,4,-
"여자","F. 건 설 업(41~42)","농림어업 숙련 종사자",0,-,0,*
"여자","F. 건 설 업(41~42)","기능원 및 관련 기능 종사자",31,*,30,-
"여자","F. 건 설 업(41~42)","장치‧기계 조작 및 조립 종사자",1,-,1,*
"여자","F. 건 설 업(41~42)","단순 노무 종사자",33,*,26,-
"여자","G. 도매 및 소매업(45~47)","계",1531,-,1475,-
"여자","G. 도매 및 소매업(45~47)","관리자",5,-,4,*
"여자","G. 도매 및 소매업(45~47)","전문가 및 관련 종사자",82,*,96,-
"여자","G. 도매 및 소매업(45~47)","사무 종사자",365,*,362,-
"여자","G. 도매 및 소매업(45~47)","서비스 종사자",8,*,9,-
"여자","G. 도매 및 소매업(45~47)","판매 종사자",907,*,852,-
"여자","G. 도매 및 소매업(45~47)","농림어업 숙련 종사자",0,-,0,*
"여자","G. 도매 및 소매업(45~47)","기능원 및 관련 기능 종사자",14,*,14,-
"여자","G. 도매 및 소매업(45~47)","장치‧기계 조작 및 조립 종사자",2,-,2,*
"여자","G. 도매 및 소매업(45~47)","단순 노무 종사자",148,*,136,-
"여자","H. 운수 및 창고업(49~52)","계",230,-,246,-
"여자","H. 운수 및 창고업(49~52)","관리자",0,-,0,*
"여자","H. 운수 및 창고업(49~52)","전문가 및 관련 종사자",5,*,5,-
"여자","H. 운수 및 창고업(49~52)","사무 종사자",94,*,104,-
"여자","H. 운수 및 창고업(49~52)","서비스 종사자",20,*,24,-
"여자","H. 운수 및 창고업(49~52)","판매 종사자",6,*,8,-
"여자","H. 운수 및 창고업(49~52)","농림어업 숙련 종사자",-,*,-,-
"여자","H. 운수 및 창고업(49~52)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","H. 운수 및 창고업(49~52)","장치‧기계 조작 및 조립 종사자",12,*,12,-
"여자","H. 운수 및 창고업(49~52)","단순 노무 종사자",91,*,93,-
"여자","I. 숙박 및 음식점업(55~56)","계",1430,-,1461,-
"여자","I. 숙박 및 음식점업(55~56)","관리자",4,-,2,*
"여자","I. 숙박 및 음식점업(55~56)","전문가 및 관련 종사자",12,*,11,-
"여자","I. 숙박 및 음식점업(55~56)","사무 종사자",20,*,25,-
"여자","I. 숙박 및 음식점업(55~56)","서비스 종사자",1006,*,1045,-
"여자","I. 숙박 및 음식점업(55~56)","판매 종사자",114,*,116,-
"여자","I. 숙박 및 음식점업(55~56)","농림어업 숙련 종사자",0,-,0,*
"여자","I. 숙박 및 음식점업(55~56)","기능원 및 관련 기능 종사자",30,*,29,-
"여자","I. 숙박 및 음식점업(55~56)","장치‧기계 조작 및 조립 종사자",1,-,1,*
"여자","I. 숙박 및 음식점업(55~56)","단순 노무 종사자",244,*,233,-
"여자","J. 정보통신업(58~63)","계",394,-,347,-
"여자","J. 정보통신업(58~63)","관리자",4,-,1,*
"여자","J. 정보통신업(58~63)","전문가 및 관련 종사자",246,*,226,-
"여자","J. 정보통신업(58~63)","사무 종사자",126,*,106,-
"여자","J. 정보통신업(58~63)","서비스 종사자",1,-,2,*
"여자","J. 정보통신업(58~63)","판매 종사자",9,*,8,-
"여자","J. 정보통신업(58~63)","농림어업 숙련 종사자",-,*,-,-
"여자","J. 정보통신업(58~63)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","J. 정보통신업(58~63)","장치‧기계 조작 및 조립 종사자",1,-,0,*
"여자","J. 정보통신업(58~63)","단순 노무 종사자",6,*,4,-
"여자","K. 금융 및 보험업(64~66)","계",448,-,465,-
"여자","K. 금융 및 보험업(64~66)","관리자",12,*,15,-
"여자","K. 금융 및 보험업(64~66)","전문가 및 관련 종사자",23,*,27,-
"여자","K. 금융 및 보험업(64~66)","사무 종사자",199,*,205,-
"여자","K. 금융 및 보험업(64~66)","서비스 종사자",2,-,1,*
"여자","K. 금융 및 보험업(64~66)","판매 종사자",208,*,212,-
"여자","K. 금융 및 보험업(64~66)","농림어업 숙련 종사자",-,*,-,-
"여자","K. 금융 및 보험업(64~66)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","K. 금융 및 보험업(64~66)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","K. 금융 및 보험업(64~66)","단순 노무 종사자",6,*,5,-
"여자","L. 부동산업(68)","계",221,-,222,-
"여자","L. 부동산업(68)","관리자",5,-,2,*
"여자","L. 부동산업(68)","전문가 및 관련 종사자",64,*,62,-
"여자","L. 부동산업(68)","사무 종사자",84,*,92,-
"여자","L. 부동산업(68)","서비스 종사자",0,-,-,-
"여자","L. 부동산업(68)","판매 종사자",3,-,2,*
"여자","L. 부동산업(68)","농림어업 숙련 종사자",-,*,-,-
"여자","L. 부동산업(68)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","L. 부동산업(68)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","L. 부동산업(68)","단순 노무 종사자",65,*,65,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","계",551,-,562,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","관리자",2,-,2,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","전문가 및 관련 종사자",260,*,262,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","사무 종사자",254,*,265,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","서비스 종사자",16,*,16,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","판매 종사자",5,*,5,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","농림어업 숙련 종사자",0,-,1,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","기능원 및 관련 기능 종사자",2,-,1,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","장치‧기계 조작 및 조립 종사자",3,*,3,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","단순 노무 종사자",9,*,8,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",534,-,593,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","관리자",1,-,2,*
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전문가 및 관련 종사자",22,*,29,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사무 종사자",151,*,171,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","서비스 종사자",25,*,28,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","판매 종사자",34,*,37,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","농림어업 숙련 종사자",1,-,2,*
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기능원 및 관련 기능 종사자",7,*,8,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","장치‧기계 조작 및 조립 종사자",6,*,7,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","단순 노무 종사자",287,*,308,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","계",654,-,639,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","관리자",2,-,3,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","전문가 및 관련 종사자",63,*,64,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","사무 종사자",337,*,340,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","서비스 종사자",59,*,51,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","판매 종사자",1,-,2,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","농림어업 숙련 종사자",0,-,0,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","장치‧기계 조작 및 조립 종사자",-,*,0,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","단순 노무 종사자",192,*,179,-
"여자","P. 교육 서비스업(85)","계",1313,-,1350,-
"여자","P. 교육 서비스업(85)","관리자",18,*,20,-
"여자","P. 교육 서비스업(85)","전문가 및 관련 종사자",920,*,948,-
"여자","P. 교육 서비스업(85)","사무 종사자",165,*,172,-
"여자","P. 교육 서비스업(85)","서비스 종사자",128,*,133,-
"여자","P. 교육 서비스업(85)","판매 종사자",2,-,2,*
"여자","P. 교육 서비스업(85)","농림어업 숙련 종사자",-,*,-,-
"여자","P. 교육 서비스업(85)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","P. 교육 서비스업(85)","장치‧기계 조작 및 조립 종사자",3,*,3,-
"여자","P. 교육 서비스업(85)","단순 노무 종사자",75,*,72,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","계",2597,-,2701,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","관리자",15,*,14,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","전문가 및 관련 종사자",1158,*,1206,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","사무 종사자",170,*,175,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","서비스 종사자",740,*,783,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","판매 종사자",3,*,3,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","농림어업 숙련 종사자",-,*,0,*
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","기능원 및 관련 기능 종사자",4,*,4,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","장치‧기계 조작 및 조립 종사자",2,-,3,*
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","단순 노무 종사자",506,*,514,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","계",279,-,281,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","관리자",1,-,1,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","전문가 및 관련 종사자",104,*,107,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","사무 종사자",49,*,45,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","서비스 종사자",91,*,91,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","판매 종사자",13,*,15,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","농림어업 숙련 종사자",1,-,1,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","기능원 및 관련 기능 종사자",1,-,0,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","장치‧기계 조작 및 조립 종사자",0,-,0,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","단순 노무 종사자",20,*,20,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",556,-,541,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","관리자",1,-,2,*
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전문가 및 관련 종사자",44,*,40,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","사무 종사자",73,*,76,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","서비스 종사자",353,*,339,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","판매 종사자",9,*,10,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","농림어업 숙련 종사자",-,*,-,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기능원 및 관련 기능 종사자",16,*,15,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","장치‧기계 조작 및 조립 종사자",7,*,8,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","단순 노무 종사자",52,*,52,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","계",74,-,70,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","관리자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","전문가 및 관련 종사자",-,*,1,*
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","사무 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","서비스 종사자",4,-,4,*
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","판매 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","농림어업 숙련 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","기능원 및 관련 기능 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","단순 노무 종사자",70,*,65,-
"여자","U. 국제 및 외국기관(99)","계",5,-,6,*
"여자","U. 국제 및 외국기관(99)","관리자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","전문가 및 관련 종사자",1,-,1,*
"여자","U. 국제 및 외국기관(99)","사무 종사자",3,-,3,*
"여자","U. 국제 및 외국기관(99)","서비스 종사자",0,-,1,*
"여자","U. 국제 및 외국기관(99)","판매 종사자",-,*,0,*
"여자","U. 국제 및 외국기관(99)","농림어업 숙련 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","기능원 및 관련 기능 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","단순 노무 종사자",1,-,1,*
