"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2023.1/2,2023.1/2,2023.1/2,2023.2/2,2023.2/2,2023.2/2,2024.1/2,2024.1/2,2024.1/2,2024.2/2,2024.2/2,2024.2/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2
"세종특별자치시","전규모(1인이상)","7 건설ㆍ채굴직",157,0,0.8,621,0,1.6,360,5,11.8,1804,0,3.7,827,0,2.5,3492,5,3.0,695,1,2.0,1236,4,3.7,1117,6,5.1,731,3,3.1
"세종특별자치시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",1155,165,4.9,1207,325,5.0,1445,292,5.8,1460,295,5.6,1176,191,3.5,1531,215,4.9,1461,148,3.5,1199,253,4.5,1556,130,3.2,1373,178,3.1
"세종특별자치시","전규모(1인이상)","9 농림어업직",23,0,0.9,12,0,3.2,36,3,28.1,47,0,2.2,12,0,1.3,406,0,1.2,131,0,0.7,73,0,0.9,85,0,0.0,19,0,1.4
"경기도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",31052,2429,1.5,34249,3561,1.7,39883,6172,2.2,33871,5533,2.4,36715,5129,1.9,36139,4973,1.6,37404,3695,1.6,35065,3486,1.5,39875,4205,1.4,33394,3252,1.3
"경기도","전규모(1인이상)","1 연구직 및 공학기술직",22615,3766,3.3,25358,4544,3.6,26714,5212,3.7,24395,5085,3.6,25669,5984,3.3,21098,5240,3.2,22886,4720,2.7,22011,3929,2.3,22641,4319,2.7,20315,3801,2.1
"경기도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",32011,737,1.8,21047,1076,2.1,36119,2158,3.0,20214,1371,2.6,34208,788,2.2,19374,1780,2.7,33687,776,2.9,20436,747,2.5,39764,952,2.4,20487,675,2.2
"경기도","전규모(1인이상)","3 보건ㆍ의료직",14885,1421,2.6,12323,2134,4.0,19152,1756,3.5,15819,1966,4.3,19479,2549,3.4,13126,1603,2.7,17792,1315,2.4,15285,1673,2.7,17188,2385,2.6,13477,1593,2.4
"경기도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",3949,312,3.7,4044,385,5.2,4505,369,5.1,4574,754,3.6,7203,675,3.2,5370,644,4.2,4867,531,2.8,4490,502,3.3,5460,354,3.3,5980,460,4.2
"경기도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",40698,1012,2.4,44179,2395,3.8,52953,3021,5.7,62382,4261,4.3,67426,3963,3.3,70757,5646,4.0,84076,2297,3.2,72071,2781,3.7,78642,2161,2.7,59407,2058,2.9
"경기도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",33937,5528,3.6,34692,5145,4.0,41278,8138,3.9,45742,12801,4.9,45865,10368,4.0,48131,7192,4.1,56375,6177,3.7,61083,6696,3.6,57229,4832,3.2,53762,4994,3.3
"경기도","전규모(1인이상)","7 건설ㆍ채굴직",8734,195,1.1,46997,421,1.7,19368,255,1.8,25772,405,1.7,14921,273,1.2,25868,515,2.7,12287,154,1.4,20331,438,2.4,13777,236,2.0,21786,12,2.5
"경기도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",47271,10965,4.8,56787,13946,5.5,60320,19541,6.9,62214,17732,6.0,50444,11595,4.9,55673,14573,4.7,52456,11323,3.6,52520,9397,4.3,44823,6621,3.1,51374,6932,3.4
"경기도","전규모(1인이상)","9 농림어업직",1042,43,1.9,513,103,6.0,341,137,13.4,826,119,2.6,834,215,3.1,1254,86,1.5,1559,61,9.1,1340,73,1.2,1969,138,3.8,1553,59,2.3
"강원특별자치도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",2505,147,1.5,2801,256,1.9,4200,756,2.0,3986,614,2.3,4013,566,2.1,3641,327,1.3,4452,398,1.7,3647,293,2.0,4624,754,2.1,3296,305,1.7
"강원특별자치도","전규모(1인이상)","1 연구직 및 공학기술직",1343,108,3.1,1570,140,2.4,1926,258,3.5,1468,241,4.5,1691,184,2.2,1466,142,2.0,1891,237,1.7,1533,191,2.2,1628,155,2.3,1860,265,2.5
"강원특별자치도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",2292,145,2.2,2404,212,2.6,3557,266,3.9,2553,408,2.9,3547,478,3.5,1296,117,1.7,4384,62,2.4,2205,168,3.0,3748,174,2.1,2358,236,1.6
"강원특별자치도","전규모(1인이상)","3 보건ㆍ의료직",1577,193,3.1,1319,248,3.8,2012,338,4.1,1892,464,6.2,1958,487,3.4,1887,336,3.9,2497,479,4.3,1920,285,3.6,2231,161,3.1,2387,338,3.6
"강원특별자치도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",329,23,1.5,393,62,2.6,452,41,4.3,428,41,2.9,623,81,5.8,1034,16,4.8,1164,30,1.5,791,29,1.5,1353,21,2.3,738,43,1.9
"강원특별자치도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",6601,297,3.4,5909,556,4.7,8508,1134,5.5,11463,1270,4.9,11772,1003,4.4,11707,967,4.4,14073,778,4.8,11122,815,4.1,13166,838,4.5,10522,1216,4.5
"강원특별자치도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",2931,544,3.6,3237,653,4.5,4656,932,4.8,5063,737,6.0,5205,613,4.6,4185,591,3.7,4992,219,3.1,4616,579,3.6,4775,373,3.8,5023,355,3.2
"강원특별자치도","전규모(1인이상)","7 건설ㆍ채굴직",6851,55,1.6,8097,337,3.0,7886,398,3.9,14273,205,3.8,11243,292,4.5,8706,81,3.9,11115,50,2.6,13273,53,2.5,11658,85,3.7,14276,233,2.8
"강원특별자치도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",3489,386,3.3,3984,1057,7.0,4372,863,6.6,5670,1054,7.3,4648,959,5.6,5855,1113,4.3,5681,878,4.7,4796,674,4.4,5205,1020,4.1,4199,589,3.5
"강원특별자치도","전규모(1인이상)","9 농림어업직",558,13,12.1,453,224,5.2,1568,43,5.9,843,15,8.5,1781,40,3.8,543,1,4.2,503,12,2.3,330,2,4.5,366,8,3.0,91,15,2.0
"충청북도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",4133,384,1.1,3996,460,1.5,5160,829,1.7,5287,594,2.1,6225,1000,2.5,3492,326,1.6,4226,542,1.8,3482,362,1.5,4785,737,1.4,3738,549,1.2
"충청북도","전규모(1인이상)","1 연구직 및 공학기술직",2222,275,1.9,2771,285,2.1,3282,501,2.8,2694,354,3.3,3212,639,2.8,2855,740,3.8,2981,401,2.5,2500,494,2.8,2669,366,2.5,2350,476,2.4
"충청북도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",3621,55,1.9,1702,177,1.8,3130,293,1.8,1904,213,2.2,4393,274,2.9,2569,526,2.9,3512,298,2.4,2967,251,2.4,4814,596,3.1,2892,212,1.6
"충청북도","전규모(1인이상)","3 보건ㆍ의료직",1592,274,3.0,1439,410,3.8,1845,231,4.4,1624,282,3.5,2444,379,2.8,1371,275,2.6,1988,253,2.5,2018,416,2.9,2558,227,1.9,1828,261,2.2
"충청북도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",350,69,3.4,307,88,2.5,520,163,2.9,319,112,3.8,289,79,2.9,277,139,3.6,438,29,3.7,452,55,1.5,669,13,1.9,348,47,2.0
"충청북도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",7827,338,1.8,7158,495,3.1,15004,2256,6.0,8094,1135,4.9,10922,469,2.7,7122,418,3.1,10309,414,3.2,8047,487,3.9,10191,365,3.3,8348,516,3.3
"충청북도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",7322,1103,3.6,6356,1316,4.5,10417,3519,5.7,8301,2349,6.1,6007,1199,3.3,5937,1637,4.3,8649,1516,4.5,6170,869,5.0,6025,1190,4.3,6846,1408,4.2
"충청북도","전규모(1인이상)","7 건설ㆍ채굴직",7321,61,0.6,9905,32,1.0,7902,178,2.0,11684,56,1.6,4126,243,2.5,6240,93,2.0,6743,78,2.8,10147,201,5.5,4378,189,3.0,13967,35,3.4
"충청북도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",11290,2115,4.3,12989,2844,5.2,15030,5661,6.7,15551,4078,6.2,12563,3582,4.4,11330,3412,4.9,10461,2587,5.0,11183,2421,4.3,10473,1705,3.7,12087,1772,3.1
"충청북도","전규모(1인이상)","9 농림어업직",418,0,0.0,95,0,4.1,97,9,12.9,107,36,10.0,143,62,13.1,418,4,0.2,414,7,1.5,637,0,1.8,217,6,1.2,2368,0,0.9
"충청남도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",4866,522,1.3,4681,598,1.8,5943,850,2.3,5312,996,2.1,6199,1008,1.7,4735,633,1.5,5996,735,1.3,4841,663,1.5,6163,684,1.8,5072,523,1.6
"충청남도","전규모(1인이상)","1 연구직 및 공학기술직",2998,186,2.7,2885,441,2.6,3545,390,2.8,2899,552,3.0,3529,509,2.2,2941,429,2.1,2604,384,1.7,2326,443,2.1,3093,558,1.8,2216,323,1.7
"충청남도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",4595,62,2.0,2726,120,2.4,6642,338,2.1,2854,316,1.8,6708,264,2.3,2844,60,1.8,6813,180,2.4,2363,50,1.5,6331,84,2.2,3317,238,2.2
"충청남도","전규모(1인이상)","3 보건ㆍ의료직",2172,160,2.5,1772,392,3.8,2473,476,4.0,2208,621,4.2,2755,340,3.4,1843,199,3.1,2912,236,3.3,2348,521,3.2,2495,506,4.1,2203,354,2.8
"충청남도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",199,3,4.7,66,1,4.4,473,9,4.9,402,84,2.8,327,8,3.0,432,63,2.2,522,29,4.7,277,46,2.5,426,50,2.0,297,48,2.6
"충청남도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",10632,164,2.8,7593,206,3.5,10215,427,4.1,11076,971,4.5,11511,1175,3.6,11462,579,3.1,13737,650,3.2,13304,413,4.0,11646,283,3.0,9621,581,3.3
"충청남도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",6105,288,2.9,5511,734,4.1,6218,1019,3.9,7206,1161,4.4,7259,967,3.7,5997,529,3.9,7881,1087,4.2,7249,605,3.2,7471,572,3.5,5238,305,2.7
"충청남도","전규모(1인이상)","7 건설ㆍ채굴직",5827,21,2.6,8975,147,2.8,6280,178,2.2,8958,67,3.6,7704,314,3.1,20313,164,6.6,10835,409,4.3,12588,96,4.5,14267,223,7.3,12999,79,6.0
"충청남도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",13284,2165,3.7,15471,3446,4.7,15552,3673,5.6,15388,4704,5.4,14979,2340,3.9,16277,3245,4.6,13592,2032,4.0,14752,2508,3.7,13166,1989,3.3,11184,1924,3.1
"충청남도","전규모(1인이상)","9 농림어업직",382,10,0.5,377,9,1.9,1021,0,11.1,379,1,6.6,372,6,2.7,297,7,4.0,842,4,3.7,919,3,3.9,1039,9,9.6,763,8,9.3
"전북특별자치도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",3094,192,0.9,4066,208,1.3,3481,398,1.4,3511,293,1.3,4486,421,1.4,3449,376,1.5,3821,333,1.3,3780,332,1.5,4441,298,1.4,3684,350,1.2
"전북특별자치도","전규모(1인이상)","1 연구직 및 공학기술직",1813,212,2.0,1614,248,2.6,1841,407,3.1,1701,410,3.1,2015,280,2.4,1794,265,2.4,2307,216,2.4,1964,217,1.9,2066,230,2.1,2043,228,2.0
"전북특별자치도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",3749,92,1.6,2463,147,2.4,4211,286,2.5,2239,88,1.8,4457,198,2.0,1753,136,1.8,4907,300,2.9,2655,272,2.7,5995,79,1.7,2592,133,2.4
"전북특별자치도","전규모(1인이상)","3 보건ㆍ의료직",1921,194,1.7,1789,321,2.5,2077,239,2.8,2295,409,3.0,2859,303,2.3,2026,288,2.4,2677,323,2.6,1764,301,3.3,2975,473,2.9,2106,341,2.1
"전북특별자치도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",280,101,3.7,348,83,5.8,357,43,3.1,302,103,4.9,531,134,5.6,189,33,3.8,579,95,5.3,527,80,2.6,657,44,4.8,201,62,2.8
"전북특별자치도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",4835,165,1.3,5245,283,3.0,5508,285,2.3,5611,287,2.5,8848,410,2.6,8697,788,2.9,11332,390,4.4,8618,412,2.9,9850,130,2.0,8331,309,2.6
"전북특별자치도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",3441,557,2.6,3595,729,3.5,3391,356,3.0,3798,779,3.9,3523,491,3.6,4213,172,2.7,4766,382,2.5,4345,126,2.5,4551,213,2.5,4221,213,2.3
"전북특별자치도","전규모(1인이상)","7 건설ㆍ채굴직",4154,25,2.2,5862,189,7.7,6976,37,7.1,6019,159,6.5,8050,21,9.4,5211,92,4.2,5118,6,3.0,6922,218,5.8,5586,30,2.5,8371,27,1.8
"전북특별자치도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",5158,1086,3.3,6509,1188,5.8,6735,1744,5.0,6628,1440,3.8,5880,800,3.5,6178,1240,3.8,7311,1177,3.9,5603,926,3.2,5994,530,2.4,4891,519,3.6
"전북특별자치도","전규모(1인이상)","9 농림어업직",108,34,2.9,136,35,11.9,373,8,8.4,433,110,11.9,462,95,7.5,154,7,1.4,364,8,4.2,260,2,6.1,441,57,2.0,112,0,2.4
"전라남도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",3061,419,1.2,3024,166,1.4,3403,495,1.8,3912,684,1.8,2947,287,1.2,3339,362,1.5,3459,433,1.6,3100,248,1.4,3679,400,2.0,3428,179,1.3
"전라남도","전규모(1인이상)","1 연구직 및 공학기술직",1927,220,1.5,2215,133,2.1,2803,301,2.1,2320,290,1.9,2500,231,2.1,2256,239,2.3,2543,335,3.3,2270,263,2.6,2641,361,2.2,2592,142,1.5
"전라남도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",2733,176,2.1,2241,364,3.3,3045,268,3.1,2183,530,3.2,3673,308,2.4,1254,102,1.2,4204,243,2.9,1974,150,2.2,4677,156,2.5,1733,75,2.1
"전라남도","전규모(1인이상)","3 보건ㆍ의료직",2227,247,2.7,1809,248,2.5,2491,348,2.9,1988,399,2.7,2402,318,2.6,1697,377,2.6,2452,250,1.7,1633,312,2.2,2537,430,2.3,1747,375,2.3
"전라남도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",178,3,4.2,285,15,1.6,257,16,2.2,302,139,5.5,496,41,3.3,238,24,1.3,440,56,3.1,198,50,4.8,407,50,3.5,334,2,3.4
"전라남도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",4724,138,1.3,5431,244,2.5,5075,605,3.5,5933,656,3.4,7678,640,2.3,6803,465,3.4,8131,578,3.2,6612,515,2.9,8548,352,2.8,6694,556,2.6
"전라남도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",3037,341,2.7,3768,444,3.5,5068,510,3.1,4431,953,4.5,4958,1337,4.7,3430,507,4.2,3957,246,2.8,4445,305,2.7,4437,842,3.2,3369,241,2.2
"전라남도","전규모(1인이상)","7 건설ㆍ채굴직",1623,206,1.1,7298,151,1.9,5072,115,3.4,6745,350,3.2,8170,146,2.6,8489,188,2.9,7947,17,2.1,12091,157,1.9,7304,239,3.9,8587,47,2.7
"전라남도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",5299,787,2.6,8529,1144,5.0,7909,2055,5.9,8641,1831,5.6,7502,1454,4.3,7001,1145,4.4,7859,908,3.1,7374,431,2.6,7073,624,2.9,6004,551,3.0
"전라남도","전규모(1인이상)","9 농림어업직",112,4,2.4,488,0,4.2,297,8,1.1,1121,0,1.7,441,7,3.6,441,14,2.3,530,5,4.2,172,9,4.2,234,3,0.4,174,23,8.9
"경상북도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",4882,600,1.2,4686,523,1.3,6104,795,1.5,5256,703,1.3,5184,925,1.5,4640,693,1.8,6328,605,2.0,5909,606,1.2,5320,561,1.1,5023,548,1.3
"경상북도","전규모(1인이상)","1 연구직 및 공학기술직",2759,388,2.4,3457,742,2.8,3145,604,3.2,3098,787,3.2,3053,586,2.5,2766,420,1.9,2859,193,1.6,2778,293,1.8,2477,187,1.8,2747,343,1.5
"경상북도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",5875,250,2.1,4074,504,2.4,6568,514,2.7,4453,423,2.5,6817,374,2.3,2961,234,2.2,6165,161,1.3,3425,232,2.1,6946,246,2.1,3999,394,2.9
"경상북도","전규모(1인이상)","3 보건ㆍ의료직",2372,252,2.5,1869,380,2.9,2563,467,3.0,2195,442,2.7,2868,356,1.8,2418,429,2.7,2707,237,2.5,2240,514,2.7,3696,180,2.3,2212,142,2.8
"경상북도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",484,82,3.0,245,37,2.3,460,47,3.3,374,66,3.3,802,82,4.5,432,158,3.4,358,20,2.3,308,38,2.6,488,23,1.2,340,14,0.8
"경상북도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",8186,341,2.6,8903,945,2.7,12912,1041,3.6,9813,1292,3.7,9904,638,2.3,13411,887,3.0,15419,801,2.8,13574,682,2.7,15865,695,2.6,10875,680,3.6
"경상북도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",5971,1162,3.1,6984,1453,4.0,7344,2091,4.6,8154,1988,4.0,9247,2200,4.0,7276,781,2.6,6074,685,2.3,6871,664,2.9,6074,657,1.9,6417,578,2.4
"경상북도","전규모(1인이상)","7 건설ㆍ채굴직",9243,203,2.4,19126,84,1.5,11954,191,2.7,14326,206,2.5,12345,304,2.9,8117,42,1.4,9802,96,2.6,17126,90,2.0,10057,109,1.4,10586,84,1.8
"경상북도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",13128,3094,3.7,15553,2476,3.3,14477,3842,4.5,17549,5356,4.6,16025,4664,4.4,17327,3470,4.4,13126,2044,3.4,15436,2044,3.6,12658,1957,3.0,13549,1166,2.9
"경상북도","전규모(1인이상)","9 농림어업직",1098,0,9.1,776,11,3.9,1148,18,12.0,221,6,7.2,770,7,0.6,679,2,3.7,744,9,1.7,371,5,1.4,1489,22,1.7,514,8,0.8
"경상남도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",6530,689,1.2,6626,1103,1.2,6794,928,1.3,6630,893,1.3,7962,915,1.5,5572,803,1.1,7256,810,1.3,6218,713,1.0,8857,1718,1.3,6551,719,1.0
"경상남도","전규모(1인이상)","1 연구직 및 공학기술직",2747,317,1.4,2946,517,2.0,3283,536,2.7,3187,512,2.3,4021,767,2.3,3246,453,2.3,3249,516,2.0,3454,571,2.3,3596,474,1.9,2995,541,1.8
"경상남도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",6467,41,1.4,3940,123,2.0,5796,565,2.7,3584,208,2.0,7435,265,1.6,3164,160,1.9,5881,277,1.8,2785,244,1.8,6418,104,1.9,3335,55,1.7
"경상남도","전규모(1인이상)","3 보건ㆍ의료직",4663,449,1.6,3449,653,2.7,4744,502,2.1,3185,431,2.7,4259,428,2.2,3166,584,2.7,3987,413,1.4,2897,545,2.8,5069,1189,3.4,3440,616,2.5
"경상남도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",589,47,2.1,425,34,2.5,553,114,1.7,268,6,2.6,463,26,1.6,297,25,2.3,329,33,1.9,348,93,3.4,678,54,3.1,371,73,2.2
"경상남도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",10291,250,1.3,8173,277,2.1,8986,679,3.4,10494,874,3.0,11961,1155,2.5,10256,632,2.4,12376,695,2.4,10740,865,2.1,13985,755,2.5,10655,574,2.7
"경상남도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",6700,1166,2.4,5845,1281,2.9,6918,1353,3.5,8323,1599,3.3,6669,1706,3.7,7389,1750,2.8,7812,1600,2.8,6930,1332,2.7,9454,1066,2.5,7121,1048,2.9
"경상남도","전규모(1인이상)","7 건설ㆍ채굴직",1751,205,1.8,4928,158,2.3,2704,93,2.8,2780,465,4.1,2677,169,3.1,1976,161,2.2,3964,9,3.2,5552,81,3.3,6970,218,2.3,9719,26,1.9
"경상남도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",14058,3088,2.7,12988,2834,3.8,14768,4512,4.7,16249,5059,4.9,17985,3978,4.4,14854,3810,3.4,15448,2794,3.4,12493,2450,3.0,13958,1907,2.9,13240,2205,2.8
"경상남도","전규모(1인이상)","9 농림어업직",163,3,4.9,295,0,2.5,132,32,1.7,292,92,2.7,601,15,0.7,68,6,1.1,174,4,0.6,250,0,3.6,611,3,10.2,87,5,1.6
"제주특별자치도","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",1402,168,2.0,1128,128,2.2,1591,254,2.1,1656,235,2.1,1834,250,2.3,1627,162,2.7,2090,145,1.8,1300,175,1.1,1519,95,1.5,1618,305,1.8
"제주특별자치도","전규모(1인이상)","1 연구직 및 공학기술직",735,273,2.6,641,256,3.9,690,165,2.7,467,70,1.4,751,96,1.8,695,161,4.2,672,175,4.7,399,92,2.9,490,9,2.4,499,38,2.4
"제주특별자치도","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",1579,66,1.9,788,102,2.1,1316,235,3.5,783,110,2.3,1762,389,5.6,1067,105,2.1,1170,21,1.8,464,4,0.6,1047,13,2.2,781,48,1.1
"제주특별자치도","전규모(1인이상)","3 보건ㆍ의료직",790,37,3.0,517,150,5.8,891,127,4.7,517,168,3.8,1136,336,4.7,722,155,5.4,603,147,4.8,482,94,4.5,848,161,2.6,630,150,4.6
"제주특별자치도","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",345,132,3.1,352,59,2.4,358,72,2.6,421,51,2.2,283,40,3.2,379,46,7.5,513,58,6.3,447,130,3.8,437,83,4.9,499,189,6.8
"제주특별자치도","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",3123,350,3.5,2348,193,5.8,3420,421,7.0,3681,694,5.6,4644,970,7.2,4838,460,4.2,5862,455,3.9,4354,349,3.0,4429,130,3.6,4128,548,3.8
"제주특별자치도","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",1854,245,2.6,1465,117,3.1,2497,451,4.5,2386,374,4.6,2779,624,3.8,2395,299,4.6,2434,285,3.0,1915,94,2.5,2594,102,2.2,2150,236,3.4
"제주특별자치도","전규모(1인이상)","7 건설ㆍ채굴직",193,32,1.1,1108,22,2.2,2197,145,4.0,1586,87,2.8,1216,70,2.7,1396,8,3.7,1887,7,6.4,1026,37,3.5,604,4,6.9,705,15,0.6
"제주특별자치도","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",838,192,3.8,995,418,7.9,1576,417,7.7,1264,523,5.5,1551,478,6.4,935,105,6.1,991,184,4.1,967,163,4.2,835,62,3.8,777,115,4.9
"제주특별자치도","전규모(1인이상)","9 농림어업직",82,13,3.1,165,12,4.0,60,6,1.5,98,26,5.8,132,57,2.1,75,17,4.8,55,27,11.6,250,16,16.7,234,12,25.6,482,346,17.7
