year,region,region_short,region_order,regional_employment_rate,regional_unemployment_rate
2015,서울특별시,서울,0,43.8,9.3
2015,부산광역시,부산,1,38.8,9.7
2015,대구광역시,대구,2,39.3,10.1
2015,인천광역시,인천,3,42.2,11.8
2015,광주광역시,광주,4,35.3,7.6
2015,대전광역시,대전,5,38.9,8.9
2015,울산광역시,울산,6,38.3,9.3
2015,세종특별자치시,세종,7,,
2015,경기도,경기,8,43.9,9.0
2015,강원특별자치도,강원,9,33.3,12.6
2015,충청북도,충북,10,41.6,7.2
2015,충청남도,충남,11,44.0,8.3
2015,전북특별자치도,전북,12,34.8,5.7
2015,전라남도,전남,13,36.9,8.5
2015,경상북도,경북,14,41.1,8.8
2015,경상남도,경남,15,36.9,8.6
2015,제주특별자치도,제주,16,43.2,5.1
2016,서울특별시,서울,0,44.6,10.3
2016,부산광역시,부산,1,40.3,9.9
2016,대구광역시,대구,2,38.3,12.0
2016,인천광역시,인천,3,44.4,11.5
2016,광주광역시,광주,4,34.1,9.8
2016,대전광역시,대전,5,41.1,8.2
2016,울산광역시,울산,6,38.7,11.1
2016,세종특별자치시,세종,7,,
2016,경기도,경기,8,44.0,9.8
2016,강원특별자치도,강원,9,35.6,10.1
2016,충청북도,충북,10,42.0,6.4
2016,충청남도,충남,11,42.5,8.9
2016,전북특별자치도,전북,12,33.8,9.4
2016,전라남도,전남,13,36.7,10.5
2016,경상북도,경북,14,40.0,10.3
2016,경상남도,경남,15,40.0,8.4
2016,제주특별자치도,제주,16,46.5,5.4
2017,서울특별시,서울,0,45.3,10.1
2017,부산광역시,부산,1,41.2,11.5
2017,대구광역시,대구,2,35.2,11.5
2017,인천광역시,인천,3,45.1,10.5
2017,광주광역시,광주,4,36.3,7.5
2017,대전광역시,대전,5,40.2,7.7
2017,울산광역시,울산,6,40.9,8.5
2017,세종특별자치시,세종,7,37.5,7.2
2017,경기도,경기,8,44.8,10.5
2017,강원특별자치도,강원,9,41.2,8.0
2017,충청북도,충북,10,43.4,6.5
2017,충청남도,충남,11,40.4,9.8
2017,전북특별자치도,전북,12,32.7,9.3
2017,전라남도,전남,13,35.8,9.7
2017,경상북도,경북,14,39.4,9.5
2017,경상남도,경남,15,39.0,8.6
2017,제주특별자치도,제주,16,47.8,5.7
2018,서울특별시,서울,0,46.1,10.1
2018,부산광역시,부산,1,40.4,9.5
2018,대구광역시,대구,2,36.3,12.2
2018,인천광역시,인천,3,47.9,9.2
2018,광주광역시,광주,4,39.4,8.6
2018,대전광역시,대전,5,38.1,10.5
2018,울산광역시,울산,6,40.4,9.8
2018,세종특별자치시,세종,7,38.1,5.9
2018,경기도,경기,8,45.3,9.0
2018,강원특별자치도,강원,9,42.4,5.2
2018,충청북도,충북,10,45.5,7.0
2018,충청남도,충남,11,43.7,9.0
2018,전북특별자치도,전북,12,31.7,10.0
2018,전라남도,전남,13,36.6,10.0
2018,경상북도,경북,14,37.3,12.0
2018,경상남도,경남,15,38.7,9.6
2018,제주특별자치도,제주,16,45.9,5.1
2019,서울특별시,서울,0,47.5,8.8
2019,부산광역시,부산,1,42.9,9.1
2019,대구광역시,대구,2,39.8,8.3
2019,인천광역시,인천,3,48.8,9.0
2019,광주광역시,광주,4,39.6,9.7
2019,대전광역시,대전,5,40.6,9.6
2019,울산광역시,울산,6,39.1,8.8
2019,세종특별자치시,세종,7,35.1,8.7
2019,경기도,경기,8,45.4,8.7
2019,강원특별자치도,강원,9,42.4,7.8
2019,충청북도,충북,10,43.5,8.0
2019,충청남도,충남,11,45.1,8.2
2019,전북특별자치도,전북,12,32.7,9.3
2019,전라남도,전남,13,37.4,9.9
2019,경상북도,경북,14,38.7,11.2
2019,경상남도,경남,15,39.3,10.3
2019,제주특별자치도,제주,16,43.7,5.3
2020,서울특별시,서울,0,46.6,9.1
2020,부산광역시,부산,1,40.5,10.6
2020,대구광역시,대구,2,37.8,9.0
2020,인천광역시,인천,3,46.8,8.6
2020,광주광역시,광주,4,39.6,8.8
2020,대전광역시,대전,5,44.7,7.7
2020,울산광역시,울산,6,37.6,11.6
2020,세종특별자치시,세종,7,36.6,7.7
2020,경기도,경기,8,43.1,8.6
2020,강원특별자치도,강원,9,40.8,8.6
2020,충청북도,충북,10,43.4,8.1
2020,충청남도,충남,11,42.0,8.5
2020,전북특별자치도,전북,12,31.5,9.1
2020,전라남도,전남,13,37.9,7.0
2020,경상북도,경북,14,38.0,10.5
2020,경상남도,경남,15,37.7,10.1
2020,제주특별자치도,제주,16,41.6,6.8
2021,서울특별시,서울,0,50.5,9.0
2021,부산광역시,부산,1,41.2,7.7
2021,대구광역시,대구,2,42.6,7.1
2021,인천광역시,인천,3,46.9,7.9
2021,광주광역시,광주,4,37.3,7.7
2021,대전광역시,대전,5,45.0,6.9
2021,울산광역시,울산,6,36.5,8.0
2021,세종특별자치시,세종,7,35.1,3.9
2021,경기도,경기,8,45.5,7.6
2021,강원특별자치도,강원,9,40.2,8.1
2021,충청북도,충북,10,46.2,6.0
2021,충청남도,충남,11,42.4,4.9
2021,전북특별자치도,전북,12,36.5,5.9
2021,전라남도,전남,13,37.2,6.9
2021,경상북도,경북,14,38.7,8.0
2021,경상남도,경남,15,39.4,8.5
2021,제주특별자치도,제주,16,42.6,7.8
2022,서울특별시,서울,0,51.5,6.8
2022,부산광역시,부산,1,42.0,6.8
2022,대구광역시,대구,2,41.3,6.9
2022,인천광역시,인천,3,50.6,6.7
2022,광주광역시,광주,4,38.8,6.5
2022,대전광역시,대전,5,48.0,4.4
2022,울산광역시,울산,6,40.5,7.8
2022,세종특별자치시,세종,7,33.9,3.1
2022,경기도,경기,8,50.0,6.1
2022,강원특별자치도,강원,9,40.0,7.5
2022,충청북도,충북,10,49.4,5.5
2022,충청남도,충남,11,45.2,5.1
2022,전북특별자치도,전북,12,38.6,6.6
2022,전라남도,전남,13,40.1,6.3
2022,경상북도,경북,14,42.1,7.4
2022,경상남도,경남,15,39.9,6.9
2022,제주특별자치도,제주,16,47.5,5.1
2023,서울특별시,서울,0,51.8,5.1
2023,부산광역시,부산,1,43.9,8.1
2023,대구광역시,대구,2,42.3,6.3
2023,인천광역시,인천,3,49.2,6.5
2023,광주광역시,광주,4,38.9,5.6
2023,대전광역시,대전,5,44.4,6.0
2023,울산광역시,울산,6,40.3,9.7
2023,세종특별자치시,세종,7,33.1,6.4
2023,경기도,경기,8,49.9,4.7
2023,강원특별자치도,강원,9,43.6,5.2
2023,충청북도,충북,10,47.9,5.4
2023,충청남도,충남,11,44.7,7.9
2023,전북특별자치도,전북,12,38.8,9.0
2023,전라남도,전남,13,39.4,7.8
2023,경상북도,경북,14,39.2,7.6
2023,경상남도,경남,15,39.0,6.2
2023,제주특별자치도,제주,16,46.4,4.0
2024,서울특별시,서울,0,51.2,5.1
2024,부산광역시,부산,1,46.1,5.9
2024,대구광역시,대구,2,37.5,8.9
2024,인천광역시,인천,3,47.4,7.2
2024,광주광역시,광주,4,38.1,7.6
2024,대전광역시,대전,5,43.4,6.0
2024,울산광역시,울산,6,40.2,9.7
2024,세종특별자치시,세종,7,36.2,4.8
2024,경기도,경기,8,49.5,5.4
2024,강원특별자치도,강원,9,48.1,3.6
2024,충청북도,충북,10,47.9,5.4
2024,충청남도,충남,11,44.2,6.2
2024,전북특별자치도,전북,12,38.0,8.6
2024,전라남도,전남,13,41.2,6.4
2024,경상북도,경북,14,41.3,6.0
2024,경상남도,경남,15,36.5,5.0
2024,제주특별자치도,제주,16,42.1,6.2
2025,서울특별시,서울,0,49.1,6.9
2025,부산광역시,부산,1,44.1,5.5
2025,대구광역시,대구,2,39.4,7.1
2025,인천광역시,인천,3,44.8,7.1
2025,광주광역시,광주,4,37.2,7.1
2025,대전광역시,대전,5,45.0,6.1
2025,울산광역시,울산,6,42.3,5.8
2025,세종특별자치시,세종,7,33.6,6.0
2025,경기도,경기,8,46.6,5.4
2025,강원특별자치도,강원,9,44.8,4.1
2025,충청북도,충북,10,48.5,3.7
2025,충청남도,충남,11,46.4,5.8
2025,전북특별자치도,전북,12,38.0,8.7
2025,전라남도,전남,13,42.8,6.0
2025,경상북도,경북,14,43.0,6.8
2025,경상남도,경남,15,38.1,5.2
2025,제주특별자치도,제주,16,43.1,4.3
